example_id                                                 | status  | run_time        |
./spec/routing/issues_routing_spec.rb[1:1:8]               | passed  | 0.0012 seconds  |
./spec/routing/projects_routing_spec.rb[1:1:1]             | passed  | 0.00104 seconds |
./spec/routing/projects_routing_spec.rb[1:1:2]             | passed  | 0.00199 seconds |
./spec/routing/projects_routing_spec.rb[1:1:3]             | passed  | 0.00116 seconds |
./spec/routing/projects_routing_spec.rb[1:1:4]             | passed  | 0.00117 seconds |
./spec/routing/projects_routing_spec.rb[1:1:5]             | passed  | 0.00141 seconds |
./spec/routing/projects_routing_spec.rb[1:1:6]             | passed  | 0.00167 seconds |
./spec/routing/projects_routing_spec.rb[1:1:7]             | passed  | 0.00103 seconds |
./spec/routing/projects_routing_spec.rb[1:1:8]             | passed  | 0.00143 seconds |
./spec/views/collections/edit.html.erb_spec.rb[1:1]        | passed  | 0.01985 seconds |
./spec/views/collections/index.html.erb_spec.rb[1:1]       | passed  | 0.01613 seconds |
./spec/views/collections/new.html.erb_spec.rb[1:1]         | passed  | 0.07293 seconds |
./spec/views/collections/show.html.erb_spec.rb[1:1]        | failed  | 0.02479 seconds |
./spec/views/issues/edit.html.erb_spec.rb[1:1]             | failed  | 0.0191 seconds  |
./spec/views/issues/index.html.erb_spec.rb[1:1]            | failed  | 0.02312 seconds |
./spec/views/issues/new.html.erb_spec.rb[1:1]              | failed  | 0.02743 seconds |
./spec/views/issues/show.html.erb_spec.rb[1:1]             | passed  | 0.0193 seconds  |
./spec/views/projects/edit.html.erb_spec.rb[1:1]           | passed  | 0.01825 seconds |
./spec/views/projects/index.html.erb_spec.rb[1:1]          | failed  | 0.02463 seconds |
./spec/views/projects/new.html.erb_spec.rb[1:1]            | passed  | 0.02688 seconds |
./spec/views/projects/show.html.erb_spec.rb[1:1]           | failed  | 0.03478 seconds |
